Year,Advanced,Moderate,Conservative
2022,17.98680215,18.26668676,18.49636864
2023,19.34560429,20.17603451,21.11491857
2024,16.91382148,18.21668887,19.79190245
2025,14.4775203,16.19968804,18.35251569
2026,13.20458636,15.36202728,18.13729508
2027,11.96158601,14.53416579,17.92414659
2028,10.74727691,13.71574638,17.71316028
2029,9.560452697,12.90641122,17.50443451
2030,8.399939387,12.10580068,17.29807678
2031,8.02712089,11.80888289,17.05768148
2032,7.654217657,11.51200172,16.81775993
2033,7.281213235,11.21514468,16.57830781
2034,6.90809058,10.91829884,16.33932077
2035,6.534832031,10.62145084,16.10079438
2036,6.16141928,10.32458685,15.86272418
2037,5.787833335,10.02769254,15.62510563
2038,5.414054494,9.730753072,15.38793412
2039,5.040062304,9.433753069,15.15120499
2040,4.665835522,9.136676582,14.9149135
2041,4.291352081,8.839507072,14.67905484
2042,3.916589042,8.542227368,14.44362414
2043,3.541522548,8.244819645,14.20861642
2044,3.166127781,7.947265383,13.97402666
2045,2.790378906,7.649545337,13.73984973
2046,2.414249019,7.35163949,13.50608043
2047,2.037710088,7.05352702,13.27271346
2048,1.66073289,6.755186253,13.03974345
2049,1.283286949,6.456594615,12.80716491
2050,0.905340459,6.157728585,12.57497227
