Scenario,Class,Year,Value
Advanced,5,2022,46.62
Advanced,5,2023,48.57
Advanced,5,2024,45.85
Advanced,5,2025,43.2
Advanced,5,2026,40.6
Advanced,5,2027,38.06
Advanced,5,2028,35.57
Advanced,5,2029,33.13
Advanced,5,2030,30.74
Advanced,5,2031,28.4
Advanced,5,2032,26.11
Advanced,5,2033,23.86
Advanced,5,2034,21.66
Advanced,5,2035,19.5
Advanced,5,2036,19.24
Advanced,5,2037,18.99
Advanced,5,2038,18.73
Advanced,5,2039,18.48
Advanced,5,2040,18.22
Advanced,5,2041,17.97
Advanced,5,2042,17.72
Advanced,5,2043,17.47
Advanced,5,2044,17.22
Advanced,5,2045,16.98
Advanced,5,2046,16.73
Advanced,5,2047,16.49
Advanced,5,2048,16.25
Advanced,5,2049,16.01
Advanced,5,2050,15.77
Moderate,5,2022,46.84
Moderate,5,2023,49.02
Moderate,5,2024,47.0
Moderate,5,2025,45.01
Moderate,5,2026,43.04
Moderate,5,2027,41.1
Moderate,5,2028,39.19
Moderate,5,2029,37.3
Moderate,5,2030,35.43
Moderate,5,2031,33.58
Moderate,5,2032,31.76
Moderate,5,2033,29.96
Moderate,5,2034,28.18
Moderate,5,2035,26.42
Moderate,5,2036,25.93
Moderate,5,2037,25.45
Moderate,5,2038,24.97
Moderate,5,2039,24.49
Moderate,5,2040,24.02
Moderate,5,2041,23.55
Moderate,5,2042,23.09
Moderate,5,2043,22.63
Moderate,5,2044,22.17
Moderate,5,2045,21.72
Moderate,5,2046,21.27
Moderate,5,2047,20.82
Moderate,5,2048,20.38
Moderate,5,2049,19.94
Moderate,5,2050,19.5
Conservative,5,2022,47.13
Conservative,5,2023,49.63
Conservative,5,2024,48.61
Conservative,5,2025,47.58
Conservative,5,2026,46.55
Conservative,5,2027,45.53
Conservative,5,2028,44.5
Conservative,5,2029,43.48
Conservative,5,2030,42.45
Conservative,5,2031,41.42
Conservative,5,2032,40.4
Conservative,5,2033,39.37
Conservative,5,2034,38.35
Conservative,5,2035,37.32
Conservative,5,2036,36.54
Conservative,5,2037,35.76
Conservative,5,2038,34.99
Conservative,5,2039,34.23
Conservative,5,2040,33.48
Conservative,5,2041,32.74
Conservative,5,2042,32.0
Conservative,5,2043,31.28
Conservative,5,2044,30.56
Conservative,5,2045,29.85
Conservative,5,2046,29.15
Conservative,5,2047,28.45
Conservative,5,2048,27.77
Conservative,5,2049,27.09
Conservative,5,2050,26.42
