Scenario,Technology,Year,Value
Advanced,NPD 1,2022,98.83
Advanced,NPD 1,2023,98.83
Advanced,NPD 1,2024,98.83
Advanced,NPD 1,2025,98.83
Advanced,NPD 1,2026,98.17
Advanced,NPD 1,2027,97.49
Advanced,NPD 1,2028,96.83
Advanced,NPD 1,2029,96.15
Advanced,NPD 1,2030,95.49
Advanced,NPD 1,2031,93.19
Advanced,NPD 1,2032,92.61
Advanced,NPD 1,2033,92.02
Advanced,NPD 1,2034,91.45
Advanced,NPD 1,2035,90.88
Advanced,NPD 1,2036,90.3
Advanced,NPD 1,2037,89.73
Advanced,NPD 1,2038,89.14
Advanced,NPD 1,2039,88.56
Advanced,NPD 1,2040,87.99
Advanced,NPD 1,2041,85.23
Advanced,NPD 1,2042,85.23
Advanced,NPD 1,2043,85.23
Advanced,NPD 1,2044,85.23
Advanced,NPD 1,2045,85.23
Advanced,NPD 1,2046,85.23
Advanced,NPD 1,2047,85.23
Advanced,NPD 1,2048,85.23
Advanced,NPD 1,2049,85.23
Advanced,NPD 1,2050,85.23
Moderate,NPD 1,2022,98.83
Moderate,NPD 1,2023,98.83
Moderate,NPD 1,2024,98.83
Moderate,NPD 1,2025,98.83
Moderate,NPD 1,2026,98.83
Moderate,NPD 1,2027,98.83
Moderate,NPD 1,2028,98.83
Moderate,NPD 1,2029,98.83
Moderate,NPD 1,2030,98.83
Moderate,NPD 1,2031,98.83
Moderate,NPD 1,2032,98.83
Moderate,NPD 1,2033,98.83
Moderate,NPD 1,2034,98.83
Moderate,NPD 1,2035,98.83
Moderate,NPD 1,2036,98.83
Moderate,NPD 1,2037,98.83
Moderate,NPD 1,2038,98.83
Moderate,NPD 1,2039,98.83
Moderate,NPD 1,2040,98.83
Moderate,NPD 1,2041,97.45
Moderate,NPD 1,2042,97.45
Moderate,NPD 1,2043,97.45
Moderate,NPD 1,2044,97.45
Moderate,NPD 1,2045,97.45
Moderate,NPD 1,2046,97.45
Moderate,NPD 1,2047,97.45
Moderate,NPD 1,2048,97.45
Moderate,NPD 1,2049,97.45
Moderate,NPD 1,2050,97.45
Conservative,NPD 1,2022,98.83
Conservative,NPD 1,2023,98.83
Conservative,NPD 1,2024,98.83
Conservative,NPD 1,2025,98.83
Conservative,NPD 1,2026,98.83
Conservative,NPD 1,2027,98.83
Conservative,NPD 1,2028,98.83
Conservative,NPD 1,2029,98.83
Conservative,NPD 1,2030,98.83
Conservative,NPD 1,2031,98.83
Conservative,NPD 1,2032,98.83
Conservative,NPD 1,2033,98.83
Conservative,NPD 1,2034,98.83
Conservative,NPD 1,2035,98.83
Conservative,NPD 1,2036,98.83
Conservative,NPD 1,2037,98.83
Conservative,NPD 1,2038,98.83
Conservative,NPD 1,2039,98.83
Conservative,NPD 1,2040,96.15
Conservative,NPD 1,2041,96.15
Conservative,NPD 1,2042,96.15
Conservative,NPD 1,2043,96.15
Conservative,NPD 1,2044,96.15
Conservative,NPD 1,2045,96.15
Conservative,NPD 1,2046,96.15
Conservative,NPD 1,2047,96.15
Conservative,NPD 1,2048,96.15
Conservative,NPD 1,2049,96.15
Conservative,NPD 1,2050,96.15
