Scenario,Class,Year,Value
Advanced,3,2022,108.66
Advanced,3,2023,97.99
Advanced,3,2024,91.96
Advanced,3,2025,87.88
Advanced,3,2026,79.81
Advanced,3,2027,72.47
Advanced,3,2028,65.61
Advanced,3,2029,64.02
Advanced,3,2030,62.65
Advanced,3,2031,60.83
Advanced,3,2032,59.32
Advanced,3,2033,58.02
Advanced,3,2034,56.88
Advanced,3,2035,55.89
Advanced,3,2036,55.23
Advanced,3,2037,54.62
Advanced,3,2038,54.04
Advanced,3,2039,53.51
Advanced,3,2040,53.01
Advanced,3,2041,52.54
Advanced,3,2042,52.1
Advanced,3,2043,51.68
Advanced,3,2044,51.29
Advanced,3,2045,50.91
Advanced,3,2046,50.55
Advanced,3,2047,50.21
Advanced,3,2048,49.88
Advanced,3,2049,49.57
Advanced,3,2050,49.27
Moderate,3,2022,120.53
Moderate,3,2023,115.35
Moderate,3,2024,111.72
Moderate,3,2025,108.99
Moderate,3,2026,106.78
Moderate,3,2027,104.96
Moderate,3,2028,98.03
Moderate,3,2029,91.33
Moderate,3,2030,84.81
Moderate,3,2031,77.75
Moderate,3,2032,71.01
Moderate,3,2033,69.78
Moderate,3,2034,68.72
Moderate,3,2035,67.76
Moderate,3,2036,67.14
Moderate,3,2037,66.55
Moderate,3,2038,66.0
Moderate,3,2039,65.48
Moderate,3,2040,65.01
Moderate,3,2041,64.55
Moderate,3,2042,64.12
Moderate,3,2043,63.72
Moderate,3,2044,63.33
Moderate,3,2045,62.96
Moderate,3,2046,62.61
Moderate,3,2047,62.27
Moderate,3,2048,61.96
Moderate,3,2049,61.64
Moderate,3,2050,61.35
Conservative,3,2022,141.46
Conservative,3,2023,140.57
Conservative,3,2024,139.77
Conservative,3,2025,139.03
Conservative,3,2026,138.34
Conservative,3,2027,137.71
Conservative,3,2028,137.12
Conservative,3,2029,136.56
Conservative,3,2030,127.98
Conservative,3,2031,118.49
Conservative,3,2032,109.25
Conservative,3,2033,100.19
Conservative,3,2034,91.26
Conservative,3,2035,82.45
Conservative,3,2036,81.94
Conservative,3,2037,81.45
Conservative,3,2038,81.0
Conservative,3,2039,80.55
Conservative,3,2040,80.15
Conservative,3,2041,79.78
Conservative,3,2042,79.41
Conservative,3,2043,79.06
Conservative,3,2044,78.74
Conservative,3,2045,78.43
Conservative,3,2046,78.12
Conservative,3,2047,77.84
Conservative,3,2048,77.56
Conservative,3,2049,77.3
Conservative,3,2050,77.04
